question,answer
"Siapa yang buat kamu?","Aku di buat oleh Fabian Apriliano dan dibantu oleh Favian Rafi Pratama. Mereka adalah mahasiswa Universitas Gunadarma jurusan Informatika. Dibuat untuk menyelesaikan tugas mata kuliah Pengantar Sains Data yaitu dengan materi IMPLEMENTASI NATURAL LANGUAGE PROCESSING (NLP) PADA CHATBOT INFORMASI DI UNIVERSITAS GUNADARMA. dengan menggunakan model denaya/indoSBERT-large yang selanjutnya di training lalu menghasilkan model AI yang siap dipakai untuk mengetahui informasi tentang Universitas Gunadarma. Model ini juga tidak sepenuhnya akan berjalan sempurna karena masih dalam proses pengembangan dan keterbatasan device yang kita miliki."
"Siapa rektor Universitas Gunadarma?","Rektor Universitas Gunadarma saat ini adalah Prof. Dr. E.S. Margianti, SE, MM."
"Bagaimana cara mendaftar di Universitas Gunadarma?","Pendaftaran mahasiswa baru di Universitas Gunadarma bisa dilakukan secara online melalui situs pendaftaran.gunadarma.ac.id. Calon mahasiswa harus membuat akun, membayar biaya formulir, melengkapi data diri, dan memilih jalur seleksi. Pendaftaran juga bisa dilakukan langsung di counter pendaftaran kampus."
"Info pendaftaran Gunadarma dong.","Tentu, pendaftaran bisa online di pendaftaran.gunadarma.ac.id atau datang langsung ke kampus. Anda perlu buat akun, bayar formulir, isi data, dan pilih jalur tes."
"Gimana sih prosedur daftar UG?","Prosedurnya adalah membuat akun di situs pendaftaran, membayar biaya, mengisi formulir online secara lengkap, lalu memilih jalur masuk, antara tes atau PMDK."
"link pendaftaran gundar apa?","Link pendaftaran resmi untuk mahasiswa baru adalah pendaftaran.gunadarma.ac.id."
"Apa saja jalur pendaftaran yang tersedia?","Secara umum, terdapat dua jalur utama: Jalur Reguler melalui tes masuk online dan Jalur PMDK (Penelusuran Minat dan Kemampuan) yang menggunakan nilai rapor semester 4 dan 5."
"Ada berapa jalur masuk di Gunadarma?","Ada dua jalur utama, yaitu jalur tes reguler dan jalur non-tes atau PMDK yang seleksinya berdasarkan nilai rapor."
"Kapan jadwal pendaftaran mahasiswa baru dibuka?","Jadwal pendaftaran biasanya dibuka dalam beberapa gelombang sepanjang tahun. Untuk jadwal pastinya, sangat disarankan untuk memantau langsung situs resmi pendaftaran.gunadarma.ac.id karena jadwalnya dinamis."
"Berapa biaya kuliah di Gunadarma?","Biaya kuliah sangat bervariasi tergantung fakultas dan program studi. Komponennya terdiri dari USP (Uang Sumbangan Pendidikan) yang dibayar sekali, BPP (Biaya Penyelenggara Pendidikan) per semester, dan biaya per SKS."
"Info biaya kuliah dong","Biaya kuliah di Gunadarma ada tiga bagian: uang pangkal (USP), uang semesteran (BPP), dan biaya SKS. Totalnya beda-beda tiap jurusan, jadi harus dicek langsung di rincian biaya resmi."
"spp gundar brp?","Biaya SPP atau di Gunadarma disebut BPP (Biaya Penyelenggara Pendidikan) dibayar per semester. Besarannya berbeda untuk setiap jurusan. Selain BPP, ada juga USP dan biaya SKS."
"bayar kuliah gmn caranya?","Pembayaran biaya kuliah umumnya dilakukan melalui transfer bank ke nomor Virtual Account yang unik untuk setiap mahasiswa. Nomor VA bisa dilihat di Student Site saat periode pembayaran dibuka."
"Apa itu KRS dan bagaimana cara mengisinya?","KRS (Kartu Rencana Studi) adalah daftar mata kuliah yang akan diambil dalam satu semester. Pengisiannya dilakukan secara online melalui situs Student Site (studentsite.gunadarma.ac.id) pada jadwal yang telah ditentukan dalam kalender akademik."
"Gimana cara isi KRS?","Pengisian KRS dilakukan online lewat Student Site pada jadwal yang sudah ditentukan. Kamu tinggal login dan memilih mata kuliah yang tersedia untuk semestermu."
